,family_history,know_resources,emp_mh_resources,mh_benefits,mh_with_coworkers,mh_with_supervisor,past_disorder,ph_or_mh_discuss,reveal_to_clients,mention_interview,share_with_f&f,num_employees,ever_diagnosed,identified,identifited_neg_consequences,medical_coverage,primarily_tech,primary_role_tech,self-employed,sought_treatment
0,No,I know some,I don't know,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1,No,I know some,No,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
2,Yes,I know some,No,I don't know,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
3,I don't know,I know some,I don't know,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
4,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
5,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
6,Yes,I know some,No,Yes,No,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
7,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
8,I don't know,I know some,No,I don't know,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
9,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
10,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
11,Yes,I know some,I don't know,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
12,No,I know some,No,No,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
13,I don't know,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
14,Yes,I know some,I don't know,I don't know,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
15,No,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
16,No,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
17,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
18,No,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
19,Yes,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
20,Yes,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
21,Yes,I know some,Yes,Not eligible for coverage / NA,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
22,Yes,I know some,No,I don't know,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
23,I don't know,I know some,No,No,Maybe,Maybe,Yes,Mental health,Not applicable to me,Maybe,,,,,,,,,,
24,I don't know,I know some,No,No,Maybe,No,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
25,Yes,I know some,No,No,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
26,Yes,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
27,Yes,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
28,Yes,I know some,Yes,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
29,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
30,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
31,I don't know,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
32,Yes,I know some,No,Not eligible for coverage / NA,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
33,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
34,Yes,I know some,I don't know,Not eligible for coverage / NA,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
35,I don't know,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
36,I don't know,I know some,No,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
37,I don't know,I know some,Yes,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
38,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
39,No,I know some,I don't know,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
40,I don't know,I know some,I don't know,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
41,Yes,I know some,I don't know,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
42,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
43,I don't know,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
44,I don't know,I know some,I don't know,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
45,Yes,I know some,I don't know,I don't know,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
46,I don't know,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
47,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
48,I don't know,I know some,No,No,Maybe,No,Yes,Mental health,Not applicable to me,No,,,,,,,,,,
49,Yes,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
50,Yes,I know some,I don't know,Yes,Yes,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
51,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
52,Yes,I know some,I don't know,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
53,No,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
54,No,I know some,Yes,I don't know,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
55,Yes,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
56,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
57,No,I know some,I don't know,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
58,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Mental health,Not applicable to me,No,,,,,,,,,,
59,No,I know some,No,I don't know,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
60,Yes,I know some,Yes,No,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
61,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
62,I don't know,I know some,Yes,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
63,No,I know some,No,No,No,Maybe,Yes,Mental health,Not applicable to me,No,,,,,,,,,,
64,Yes,I know some,Yes,Yes,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
65,I don't know,I know some,No,No,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
66,Yes,I know some,No,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
67,I don't know,I know some,I don't know,I don't know,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
68,No,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
69,I don't know,I know some,No,I don't know,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
70,No,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
71,I don't know,I know some,Yes,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
72,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
73,I don't know,I know some,I don't know,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
74,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
75,Yes,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
76,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
77,No,I know some,No,Not eligible for coverage / NA,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
78,No,I know some,No,No,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
79,I don't know,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
80,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
81,Yes,I know some,I don't know,I don't know,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
82,Yes,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
83,Yes,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
84,I don't know,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
85,No,I know some,No,No,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
86,No,I know some,Yes,Yes,No,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
87,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
88,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
89,I don't know,I know some,I don't know,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
90,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
91,I don't know,I know some,No,No,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
92,Yes,I know some,I don't know,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
93,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
94,Yes,I know some,Yes,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
95,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
96,I don't know,I know some,I don't know,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
97,No,I know some,Yes,No,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
98,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
99,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
100,Yes,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
101,Yes,I know some,Yes,Yes,No,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
102,I don't know,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
103,No,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
104,No,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
105,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
106,Yes,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
107,I don't know,I know some,No,Yes,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
108,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
109,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
110,Yes,I know some,I don't know,Not eligible for coverage / NA,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
111,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
112,I don't know,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
113,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
114,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
115,Yes,I know some,No,Yes,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
116,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
